##################################################
# Model Blast-Wave                          #
# - rapidity range         :        4 [units]    #
# - spatial rapidity range :        8 [units]    #
# - max cylinder size      :     8.21 [fm]       #
# - Blast-Wave time        :     8.17 [fm]       #
# - transverse velocity    :    0.341 [c]        #
# - freeze-out temperature :    165.6 [MeV]      #
# - chem. potential Mu_B   :     28.5 [MeV]      #
# - chem. potential Mu_I3  :     -0.9 [MeV]      #
# - chem. potential Mu_S   :      6.9 [MeV]      #
# - chem. potential Mu_C   :        0 [MeV]      #
# Parameters hash (CRC32)  : AAA1E9AE            #
# Integration samples      :  5000000            #
# Random seed              :      yes            #
# Generation date          : 2021-04-02 17:43:47 #
##################################################

# Particle name	Max integrand	Multiplicity
Ka1780zer	0.00957556	1.84115
Ka1780zrb	0.00865827	1.68711
Ka1780plu	0.00950087	1.84225
Ka1780min	0.00884518	1.6981
Sg1775plu	0.00889544	1.72163
Sg1775min	0.00906141	1.74376
Sg1775zer	0.00891284	1.72826
Sg1775plb	0.00697457	1.34571
Sg1775mnb	0.00680626	1.32617
Sg1775zrb	0.00691336	1.33491
Sg1750plu	0.00335247	0.65791
Sg1750zer	0.00332179	0.657876
Sg1750min	0.00333201	0.661984
Sg1750plb	0.00258864	0.509649
Sg1750zrb	0.00259106	0.508978
Sg1750mnb	0.00258684	0.504784
Ka1770zer	0.0069441	1.3403
Ka1770zrb	0.00629635	1.22286
Ka1770plu	0.00686985	1.33336
Ka1770min	0.00650562	1.23477
Ns1720plu	0.00801004	1.60387
Ns1720zer	0.00805607	1.61876
Ns1720plb	0.00581539	1.14093
Ns1720zrb	0.00579518	1.13593
Ka1680zer	0.005425	1.07972
Ka1680zrb	0.0049145	0.983641
Ka1680plu	0.00530026	1.06447
Ka1680min	0.00491913	0.991192
f01710zer	0.00173102	0.347158
Ns1710plu	0.00428372	0.843383
Ns1710zer	0.00423921	0.855859
Ns1710plb	0.0029962	0.602238
Ns1710zrb	0.00299081	0.603475
Ns1700plu	0.00879331	1.7805
Ns1700zer	0.00891625	1.79808
Ns1700plb	0.00629352	1.27009
Ns1700zrb	0.00617765	1.26145
rh1700plu	0.00551095	1.12477
rh1700min	0.00565539	1.13129
rh1700zer	0.00559623	1.13062
Dl1700plp	0.00879058	1.77264
Dl1700plu	0.00879907	1.77994
Dl1700zer	0.00880296	1.80006
Dl1700min	0.00879869	1.81155
Dl1700ppb	0.00629967	1.28194
Dl1700plb	0.00627082	1.27074
Dl1700zrb	0.00625245	1.26473
Dl1700mnb	0.0062193	1.25193
rh1690plu	0.0133473	2.76296
rh1690min	0.0135807	2.76286
rh1690zer	0.0019279	0.393724
Lm1690zer	0.00879187	1.80939
Lm1690zrb	0.00682968	1.38489
Xi1690min	0.0085564	1.73795
Xi1690mnb	0.00720116	1.437
Xi1690zer	0.00847256	1.73927
Xi1690zrb	0.00721278	1.4559
Ns1680plu	0.0144994	2.95573
Ns1680zer	0.0147336	2.99965
Ns1680plb	0.0104854	2.12879
Ns1680zrb	0.0103164	2.10758
ph1680zer	0.00616555	1.26076
Ns1675plu	0.0149234	3.05309
Ns1675zer	0.0150974	3.05413
Ns1675plb	0.0104463	2.17516
Ns1675zrb	0.0104344	2.16469
UM1672min	0.0087517	1.82594
UM1672mnb	0.00796705	1.65398
pi1670plu	0.0107265	2.1979
pi1670min	0.010757	2.21477
pi1670zer	0.0108249	2.21697
Lm1670zer	0.00494718	0.999084
Lm1670zrb	0.00371798	0.77189
Sg1670plu	0.00971673	2.00003
Sg1670min	0.00990364	2.01265
Sg1670zer	0.00982298	2.00675
Sg1670plb	0.00756654	1.54947
Sg1670mnb	0.00757843	1.5272
Sg1670zrb	0.00741012	1.55181
om1670zer	0.0151281	3.1539
Sg1660plu	0.0050395	1.05428
Sg1660min	0.00505672	1.0683
Sg1660zer	0.00516249	1.05765
Sg1660plb	0.00387873	0.819111
Sg1660mnb	0.00396423	0.808011
Sg1660zrb	0.00395847	0.812951
Ns1650plu	0.0055551	1.16187
Ns1650zer	0.00557296	1.15637
Ns1650plb	0.00396288	0.824027
Ns1650zrb	0.00396823	0.819435
om1650zer	0.00712795	1.47826
Dl1620plp	0.00633098	1.357
Dl1620plu	0.00625276	1.3521
Dl1620zer	0.00635949	1.36737
Dl1620min	0.00644219	1.3653
Dl1620ppb	0.00461405	0.975234
Dl1620plb	0.00453619	0.966912
Dl1620zrb	0.00460383	0.959784
Dl1620mnb	0.00443865	0.956716
Xi1620min	0.0116852	2.51071
Xi1620mnb	0.00974774	2.07824
Xi1620zer	0.0116195	2.50696
Xi1620zrb	0.00989842	2.09476
Dl1600plp	0.0140853	3.00205
Dl1600plu	0.0136769	3.01579
Dl1600zer	0.0138881	3.03299
Dl1600min	0.0142488	3.03239
Dl1600ppb	0.0100217	2.15332
Dl1600plb	0.0100099	2.14987
Dl1600zrb	0.00995073	2.12507
Dl1600mnb	0.00986205	2.11705
Lm1600zer	0.00669637	1.44686
Lm1600zrb	0.00516344	1.11452
Ns1535plu	0.00932221	2.10113
Ns1535zer	0.00948588	2.11903
Ns1535plb	0.00664406	1.50269
Ns1535zrb	0.00661816	1.49681
Xi1530min	0.0176449	3.91029
Xi1530mnb	0.0145411	3.25818
Xi1530zer	0.0174659	3.93017
Xi1530zrb	0.014684	3.34505
f21525zer	0.0205282	4.70082
Ns1520plu	0.0201679	4.57854
Ns1520zer	0.0201228	4.58883
Ns1520plb	0.0143323	3.24278
Ns1520zrb	0.0143267	3.2249
Lm1520zer	0.0191821	4.38557
Lm1520zrb	0.0149281	3.37404
f01500zer	0.00442988	1.0281
a01450plu	0.00521098	1.21114
a01450min	0.00525279	1.22545
a01450zer	0.00513631	1.2183
rh1450plu	0.0161524	3.82923
rh1450min	0.016305	3.87915
rh1450zer	0.0162055	3.83052
Ns1440plu	0.0141395	3.4403
Ns1440zer	0.0143651	3.45175
Ns1440plb	0.0103111	2.44585
Ns1440zrb	0.0102205	2.4403
et1440zer	0.00628925	1.49032
f11420zer	0.0194327	4.69399
Ka1430zer	0.0336347	8.18546
Ka1430zrb	0.0311909	7.45149
Ka1430plu	0.0338687	8.09202
Ka1430min	0.0313797	7.53447
om1420zer	0.0202649	4.82875
Ka1410zer	0.0214078	5.19134
Ka1410zrb	0.0195083	4.76041
Ka1410plu	0.0211985	5.17888
Ka1410min	0.0197146	4.78013
Ka1412zer	0.00708187	1.74608
Ka1412zrb	0.00651211	1.60542
Lm1405zer	0.0163102	3.93517
Lm1405zrb	0.0124724	3.03684
Ka1400zer	0.0225895	5.51215
Ka1400zrb	0.0207092	5.07385
Ka1400plu	0.0225222	5.51905
